item#   |filename          |x           |y	   totalitems=016
001     |M001_Av.bmp       |+80	        |-60 
002     |M001_Di.bmp       |  0	        |-60 
003     |M002_Av.bmp       |-80	        |-60 
004     |M002_Di.bmp       |+80	        |  0 
005     |M004_Av.bmp       |-80	        |  0 
006     |M004_Di.bmp       |+80	        |+60 
007     |M005_Av.bmp       |  0	        |+60 
008     |M005_Di.bmp       |-80	        |+60 
009     |M007_Av.bmp       |+80	        |-60 
010     |M007_Di.bmp       |  0	        |-60 
011     |M008_Av.bmp       |-80	        |-60 
012     |M008_Di.bmp       |+80	        |  0 
013     |M010_Av.bmp       |-80	        |  0 
014     |M010_Di.bmp       |+80	        |+60 
015     |M013_Av.bmp       |  0	        |+60 
016     |M013_Di.bmp       |-80	        |+60 
017     |M086_Av.bmp       |+80	        |-60 
018     |M086_Di.bmp       |  0	        |-60 
