cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|001	  |000	   |        |       
002	|000	  |001     |        |      
003	|000	  |001	   |        |       
004	|001	  |000     |        | 
005	|001	  |000	   |        |       
006	|002	  |000     |        | 
007	|000	  |002	   |        |       
008	|000	  |002     |        |      
009	|002	  |000	   |        |       
010	|002	  |000     |        | 
