cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|002	  |000	   |        |       
002	|000	  |002     |        |      
003	|002	  |000	   |        |       
004	|000	  |002     |        | 
005	|002	  |000	   |        |       
006	|000	  |002     |        | 
007	|002	  |000	   |        |       
008	|000	  |002     |        |      
009	|002	  |000	   |        |       
010	|000	  |002     |        | 
