cnd#	|left	  |right   |test1   |test2       totalconditions=012
001	|001	  |003	   |        |       
002	|003	  |001     |        |      
003	|001	  |003	   |        |       
004	|003	  |001     |        | 
005	|001	  |003	   |        |       
006	|003	  |001     |        | 
007	|001	  |003	   |        |       
008	|003	  |001     |        |      
009	|001	  |003	   |        |       
010	|003	  |001     |        | 	
011	|004	  |001	   |        |       
012	|004	  |003     |        | 
