cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|003	  |000	   |        |       
002	|000	  |003     |        |      
003	|003	  |000	   |        |       
004	|000	  |003     |        | 
005	|003	  |000	   |        |       
006	|000	  |003     |        | 
007	|003	  |000	   |        |       
008	|000	  |003     |        |      
009	|003	  |000	   |        |       
010	|000	  |003     |        | 
