cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|001	  |002	   |        |       
002	|001	  |002	   |        |      
003	|001	  |002	   |        |       
004	|002	  |001     |        | 
005	|001	  |002	   |        |       
006	|002	  |001     |        | 
007	|001	  |002	   |        |       
008	|002	  |001     |        |      
009	|001	  |002	   |        |       
010	|002	  |001     |        | 
