cnd#	|left	  |right   |test1   |test2       totalconditions=012
001	|001	  |003	   |        |       
002	|003	  |001     |        |      
003	|002	  |003	   |        |       
004	|003	  |002     |        | 
005	|001	  |002	   |        |       
006	|002	  |001     |        | 
007	|001	  |003	   |        |       
008	|003	  |001     |        |      
009	|002	  |003	   |        |       
010	|003	  |002     |        | 	
011	|001	  |002	   |        |       
012	|002	  |001     |        | 
