item#|fixX|fixY|totalitems=15
01   |   0|   0|           
02   |  20|   0|           
03   | -20|   0|           
04   |  40|   0|           
05   | -40|   0|           
06   |  60|   0|           
07   | -60|   0|           
08   |  80|   0|           
09   | -80|   0|           
10   | 100|   0|        
11   |-100|   0|    
12   | 120|   0|    
13   |-120|   0|    
14   | 140|   0|    
15   |-140|   0|       
