cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|006	  |016	   |        |       
002	|016	  |006     |        |      
003	|007	  |017     |        |      
004	|017	  |007     |        |      
005	|008	  |018     |        |      
006	|018	  |008     |        |      
007	|009	  |019     |        |      
008	|019	  |009     |        |      
009	|010	  |020     |        |       
010	|020	  |010     |        |      
