cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|001	  |000	   |        |       
002	|000	  |001     |        |      
003	|001	  |000	   |        |       
004	|000	  |001     |        | 
005	|001	  |000	   |        |       
006	|000	  |001     |        | 
007	|001	  |000	   |        |       
008	|000	  |001     |        |      
009	|001	  |000	   |        |       
010	|000	  |001     |        | 
