cnd#	|left	  |right   |test1   |test2       totalconditions=010
001	|000	  |001	   |        |       
002	|001	  |000     |        |      
003	|000	  |001	   |        |       
004	|001	  |000     |        | 
005	|000	  |001	   |        |       
006	|001	  |000     |        | 
007	|000	  |001	   |        |       
008	|001	  |000     |        |      
009	|000	  |001	   |        |       
010	|001	  |000     |        | 
