item#   |filename              totalitems=012
001     |1ls_76.bmp
002     |1ls_236.bmp
003     |1th_188.bmp
004     |1ne_45.bmp
005     |106ls_54.bmp
006     |106ne_84.bmp
007     |106th_240.bmp
008     |94ne_71.bmp
009     |112th_113.bmp
010     |116ls_39.bmp
011     |88ne_187.bmp
012     |88ls_115.bmp
